cenario,algoritmo,metrica,media,desvio_padrao,ic95_inferior,ic95_superior,n
balanced,fcfs,turnaround_medio,18095.5809,459.4112839497894,18005.536288345844,18185.625511654158,100
balanced,fcfs,trocas_contexto,2995.03,42.529479971740386,2986.6942219255393,3003.365778074461,100
balanced,fcfs,jain_slowdown,0.7946040000000001,0.014699109572427245,0.7917229745238044,0.7974850254761958,100
balanced,priority,turnaround_medio,14628.063400000001,245.40628277345886,14579.963768576403,14676.163031423599,100
balanced,priority,trocas_contexto,2995.03,42.529479971740386,2986.6942219255393,3003.365778074461,100
balanced,priority,jain_slowdown,0.347545,0.013745878170079447,0.3448508078786644,0.3502391921213356,100
balanced,proposed,turnaround_medio,18076.8764,455.8086075140298,17987.53791292725,18166.21488707275,100
balanced,proposed,trocas_contexto,2995.03,42.529479971740386,2986.6942219255393,3003.365778074461,100
balanced,proposed,jain_slowdown,0.793856,0.015023976258842485,0.7909113006532669,0.7968006993467331,100
balanced,rr,turnaround_medio,24977.9325,596.3875089444781,24861.04054824688,25094.824451753117,100
balanced,rr,trocas_contexto,6987.57,102.05012187027204,6967.5681761134265,7007.571823886573,100
balanced,rr,jain_slowdown,0.8518340000000001,0.006350633786871158,0.8505892757777733,0.8530787242222269,100
cpu-bound,fcfs,turnaround_medio,35045.038,891.046799579239,34870.39282728247,35219.68317271753,100
cpu-bound,fcfs,trocas_contexto,1994.02,26.879070751133575,1988.7517021327778,1999.2882978672221,100
cpu-bound,fcfs,jain_slowdown,0.850479,0.0069676205668532465,0.8491133463688968,0.8518446536311032,100
cpu-bound,priority,turnaround_medio,29353.6581,514.924463364386,29252.73290518058,29454.583294819422,100
cpu-bound,priority,trocas_contexto,1994.02,26.879070751133575,1988.7517021327778,1999.2882978672221,100
cpu-bound,priority,jain_slowdown,0.55993,0.00974932787116086,0.5580191317372525,0.5618408682627476,100
cpu-bound,proposed,turnaround_medio,35049.563500000004,893.7292385138211,34874.39256925129,35224.734430748715,100
cpu-bound,proposed,trocas_contexto,1994.02,26.879070751133575,1988.7517021327778,1999.2882978672221,100
cpu-bound,proposed,jain_slowdown,0.850483,0.007169957736234849,0.849077688283698,0.851888311716302,100
cpu-bound,rr,turnaround_medio,60143.011900000005,1215.3982615194225,59904.7938407422,60381.22995925781,100
cpu-bound,rr,trocas_contexto,14424.34,221.12276493323154,14380.999938073086,14467.680061926914,100
cpu-bound,rr,jain_slowdown,0.964774,0.001483213818814815,0.9644832900915123,0.9650647099084877,100
io-bound,fcfs,turnaround_medio,12031.4154,224.84202215805027,11987.346363657021,12075.484436342978,100
io-bound,fcfs,trocas_contexto,4003.21,45.97238850713007,3994.1994118526027,4012.2205881473974,100
io-bound,fcfs,jain_slowdown,0.865746,0.006716381601590388,0.8644295892060883,0.8670624107939118,100
io-bound,priority,turnaround_medio,8637.0675,131.61255485977455,8611.271439247483,8662.863560752516,100
io-bound,priority,trocas_contexto,4003.21,45.97238850713007,3994.1994118526027,4012.2205881473974,100
io-bound,priority,jain_slowdown,0.511518,0.01323026359327261,0.5089248683357186,0.5141111316642815,100
io-bound,proposed,turnaround_medio,11987.744299999998,222.06494179008163,11944.219571409143,12031.269028590854,100
io-bound,proposed,trocas_contexto,4003.21,45.97238850713007,3994.1994118526027,4012.2205881473974,100
io-bound,proposed,jain_slowdown,0.861207,0.00655257301609933,0.8599226956888445,0.8624913043111554,100
io-bound,rr,turnaround_medio,12031.4154,224.84202215805027,11987.346363657021,12075.484436342978,100
io-bound,rr,trocas_contexto,4003.21,45.97238850713007,3994.1994118526027,4012.2205881473974,100
io-bound,rr,jain_slowdown,0.865746,0.006716381601590388,0.8644295892060883,0.8670624107939118,100
priority-imbalanced,fcfs,turnaround_medio,18120.1064,484.58305541672615,18025.12812113832,18215.08467886168,100
priority-imbalanced,fcfs,trocas_contexto,2996.22,44.79370897387672,2987.44043304112,3004.9995669588798,100
priority-imbalanced,fcfs,jain_slowdown,0.796057,0.015064013275339207,0.7931044533980335,0.7990095466019665,100
priority-imbalanced,priority,turnaround_medio,15600.113899999998,367.61249049161046,15528.061851863642,15672.165948136355,100
priority-imbalanced,priority,trocas_contexto,2996.2,44.79425468210463,2987.4203260823074,3004.9796739176923,100
priority-imbalanced,priority,jain_slowdown,0.36890500000000004,0.018743054605895912,0.36523136129724443,0.37257863870275565,100
priority-imbalanced,proposed,turnaround_medio,18109.091200000003,484.5107947370493,18014.127084231543,18204.055315768463,100
priority-imbalanced,proposed,trocas_contexto,2996.22,44.79370897387672,2987.44043304112,3004.9995669588798,100
priority-imbalanced,proposed,jain_slowdown,0.7951309999999999,0.01492226114829042,0.792206236814935,0.7980557631850649,100
priority-imbalanced,rr,turnaround_medio,25023.660099999997,617.2566742744493,24902.677791842205,25144.64240815779,100
priority-imbalanced,rr,trocas_contexto,6994.95,113.01187700164238,6972.799672107678,7017.100327892322,100
priority-imbalanced,rr,jain_slowdown,0.85271,0.006916668492150183,0.8513543329755385,0.8540656670244614,100
